timestamp,customer_id,message
2025-12-06 08:40,C004,Your app has too many errors
2025-12-06 09:20,C018,Love the quick support response
2025-12-06 09:50,C019,The delivery was late and disappointing
2025-12-06 10:30,C020,Great service, very satisfied
2025-12-06 11:00,C005,Refund has not been processed yet
2025-12-06 11:35,C021,App keeps crashing on startup
2025-12-06 12:00,C022,Thank you for the smooth process
2025-12-06 12:45,C006,Still waiting for the courier
2025-12-06 13:15,C023,Happy with the support staff
2025-12-06 13:50,C024,Invoice shows wrong charges
2025-12-06 14:30,C007,Product quality is poor
2025-12-06 15:00,C025,Excellent user experience
2025-12-06 15:40,C026,Very angry about the delay
2025-12-06 16:10,C008,App interface is very intuitive
2025-12-06 16:45,C027,Issue resolved quickly, thanks!
